,author_name,book_average_rating,book_id,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
7,Mary Roach,3.84,5981308,Bonk: The Curious Coupling of Science and Sex,Nonfiction,Science,45963,4268,319,2008,2054
78,Sheri S. Tepper,4.05,104344,The Gate to Women's Country,Science Fiction,Fiction,11188,684,315,November 1st 1987,9019
80,Robert A. Heinlein,3.91,350,Stranger in a Strange Land,Science Fiction,Fiction,249232,7108,528,July 1st 1961,9765
82,William F. Nolan,3.67,73654,Logan's Run,Science Fiction,Science Fiction,9089,519,149,1967,10110
84,Larry Niven,3.99,218467,Lucifer's Hammer,Science Fiction,Fiction,37006,1285,629,1977,11779
85,George R. Stewart,3.96,93269,Earth Abides,Science Fiction,Apocalyptic,21287,1678,345,1949,12052
86,Pierre Boulle,3.93,414895,Planet of the Apes,Science Fiction,Fiction,28780,1229,268,1963,12441
87,Stephen King,3.65,10567,Cell,Horror,Fiction,171440,5347,449,2006,12874
88,Philip K. Dick,4.03,14817,A Scanner Darkly,Science Fiction,Fiction,73071,2644,219,January 1977,13401
90,Neal Stephenson,4.19,827,"The Diamond Age: Or, A Young Lady's Illustrated Primer",Science Fiction,Fiction,73645,3109,499,February 1995,14263
92,Pierce Brown,4.27,15839976,Red Rising,Science Fiction,Fantasy,179802,20262,382,2014,15576
93,Richard Bachman,3.86,11607,The Running Man,Horror,Fiction,84322,2464,317,May 1st 1982,15620
94,Ray Bradbury,4.13,76778,The Martian Chronicles,Science Fiction,Fiction,179545,6240,182,1950,16186
95,Joe Haldeman,4.15,21611,The Forever War,Science Fiction,Fiction,118635,5080,278,December 1974,16218
96,Robert R. McCammon,4.28,11557,Swan Song,Horror,Fiction,48928,2900,956,1987,16488
98,David Brin,3.88,889284,The Postman,Science Fiction,Fiction,28359,1154,321,1985,16859
101,John Wyndham,3.92,826845,The Chrysalids,Science Fiction,Fiction,37299,1821,200,1955,18585
103,Ann Aguirre,3.92,7137327,Enclave,Science Fiction,Young Adult,61672,4920,259,2011,21519
104,Octavia E. Butler,4.15,52397,Parable of the Sower,Science Fiction,Fiction,38838,3853,345,October 1993,22363
106,Ursula K. Le Guin,4.2,13651,The Dispossessed,Science Fiction,Fiction,68558,4150,387,May 1974,26539
112,William Gibson,3.89,888628,Neuromancer,Science Fiction,Fiction,227841,7733,271,1984,34464
113,Walter M. Miller Jr.,3.98,164154,A Canticle for Leibowitz,Science Fiction,Fiction,80722,4083,335,October 1959,35396
121,Hugh Howey,4.24,13453029,Wool Omnibus,Science Fiction,Fiction,139515,12782,509,2012,64630
122,Max Brooks,4.01,8908,World War Z: An Oral History of the Zombie War,Horror,Fiction,380355,23651,342,2006,90544
141,Douglas Adams,4.38,13,The Ultimate Hitchhiker's Guide to the Galaxy,Science Fiction,Fiction,255070,4753,815,January 17th 1996,29784
148,Mitch Albom,4.09,6900,Tuesdays with Morrie,Nonfiction,Autobiography,671940,21928,210,1997,37739
153,Greg Mortenson,3.64,49436,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Nonfiction,Autobiography,307246,21963,349,March 2nd 2006,53833
197,Michelle K. Pickett,3.55,13425802,PODs,Science Fiction,Young Adult,1197,225,312,2013,8043
200,Jessica Brody,3.69,9791892,Unremembered,Science Fiction,Young Adult,7014,1056,320,February 28th 2013,8297
216,Elsie Chapman,3.51,13401993,Dualed,Science Fiction,Young Adult,6871,927,292,2013,14983
218,Kristen Simmons,4.0,13188615,Breaking Point,Science Fiction,Young Adult,10068,671,400,2013,15754
238,Marie Lu,4.36,14290364,Champion,Science Fiction,Young Adult,144241,14027,369,2013,24257
243,Kimberly Derting,3.73,12631512,The Essence,Science Fiction,Fantasy,7525,588,341,2013,28817
260,Lauren DeStefano,3.8,12383869,Sever,Science Fiction,Young Adult,24205,2491,371,2013,70523
261,Veronica Rossi,4.16,13253276,Through the Ever Night,Science Fiction,Young Adult,64677,4284,341,2013,94916
267,Courtney Alameda,3.8,20757532,Shutter,Horror,Young Adult,2348,687,384,2015,5515
344,Theodore Sturgeon,3.89,595394,Some of Your Blood,Horror,Fiction,1180,132,192,1961,1409
347,Ray Garton,3.87,411199,Live Girls,Horror,Paranormal,1956,133,337,January 1st 1987,1486
352,Richard Matheson,4.06,40940649,I Am Legend,Horror,Science Fiction,75022,4703,160,1954,1721
353,Tanith Lee,3.73,81122,Dark Dance,Horror,Paranormal,929,66,409,1992,1751
356,John Skipp,3.84,179182,The Light at the End,Horror,Paranormal,1618,122,370,1986,1825
358,Blake Crouch,3.86,9378084,Draculas,Horror,Paranormal,2817,345,326,September 7th 2010,1946
362,Suzy McKee Charnas,3.57,975885,The Vampire Tapestry,Horror,Paranormal,1966,204,285,1980,2288
365,Richard Laymon,3.85,613605,The Traveling Vampire Show,Horror,Paranormal,6972,398,391,2000,2488
366,David Wellington,3.62,263550,13 Bullets,Horror,Paranormal,3916,373,323,January 1st 2007,2693
369,John Steakley,3.76,843588,Vampire$,Horror,Paranormal,2726,178,368,May 5th 1990,3019
370,Dan Simmons,3.71,11290,Children of the Night,Horror,Paranormal,6042,299,464,1992,3225
372,Nancy A. Collins,3.91,40669604,Sunglasses After Dark,Horror,Paranormal,2557,137,192,1989,3567
