,Unnamed: 0,user_id,book_id,rating,goodreads_book_id,tag_id,count,genre_x,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url
5,5,11365,6,4,11870085,26138,7849,romance,16827462,226,525478817,9780000000000.0,John Green,2012.0,The Fault in Our Stars,The Fault in Our Stars,eng,4.26,2346404,2478609,140739,47994,92723,327550,698471,1311871,https://images.gr-assets.com/books/1360206420m/11870085.jpg
9,9,9,10,5,1885,26138,8756,romance,3060926,3455,679783261,9780000000000.0,Jane Austen,1813.0,Pride and Prejudice,Pride and Prejudice,eng,4.24,2035490,2191465,49152,54700,86485,284852,609755,1155673,https://images.gr-assets.com/books/1320399351m/1885.jpg
27,27,4,28,3,7624,1691,812,action,2766512,458,140283331,9780000000000.0,William Golding,1954.0,Lord of the Flies ,Lord of the Flies,eng,3.64,1605019,1671484,26886,92779,160295,425648,564916,427846,https://images.gr-assets.com/books/1327869409m/7624.jpg
28,28,70,29,5,18135,26138,4204,romance,3349450,1937,743477111,9780000000000.0,"William Shakespeare, Robert           Jackson",1595.0,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,eng,3.73,1628519,1672889,14778,57980,153179,452673,519822,489235,https://images.gr-assets.com/books/1327872146m/18135.jpg
33,33,11322,34,4,10818853,26138,1093,romance,15732562,169,1612130291,9780000000000.0,E.L. James,2011.0,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",eng,3.67,1338493,1436818,75437,165455,152293,252185,294976,571909,https://images.gr-assets.com/books/1385207843m/10818853.jpg
37,37,89,38,3,14050,26138,4778,romance,2153746,167,965818675,9780000000000.0,Audrey Niffenegger,2003.0,The Time Traveler's Wife,The Time Traveler's Wife,eng,3.95,746287,1308667,43382,44339,85429,257805,427210,493884,https://images.gr-assets.com/books/1437728815m/14050.jpg
43,43,169,44,2,15931,26138,1257,romance,1498135,190,553816713,9780000000000.0,Nicholas Sparks,1996.0,The Notebook,"The Notebook (The Notebook, #1)",eng,4.06,1053403,1076749,17279,41395,63432,176469,298259,497194,https://images.gr-assets.com/books/1385738917m/15931.jpg
62,62,40,63,3,6185,26138,3675,romance,1565818,2498,393978893,9780000000000.0,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,Wuthering Heights,eng,3.82,899195,1001135,26157,46469,84084,215320,309180,346082,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
72,72,619,74,4,99561,26138,1877,romance,919292,187,142402516,9780000000000.0,John Green,2005.0,Looking for Alaska,Looking for Alaska,eng,4.09,783470,831285,47128,16940,44232,147324,262932,359857,https://images.gr-assets.com/books/1394798630m/99561.jpg
73,73,32,75,3,227443,26138,2122,romance,3185154,193,014028009X,9780000000000.0,Helen Fielding,1996.0,,"Bridget Jones's Diary (Bridget Jones, #1)",eng,3.75,736498,754498,8157,28973,59309,198555,254836,212825,https://images.gr-assets.com/books/1292060045m/227443.jpg
75,75,179,77,2,38709,1691,663,action,1679789,138,439244196,9780000000000.0,"Louis Sachar, Louis Sachar",1998.0,Holes,"Holes (Holes, #1)",eng,3.93,747445,764637,15832,15495,43786,176946,269153,259257,https://images.gr-assets.com/books/1327781893m/38709.jpg
76,76,24,78,2,5139,26138,450,romance,38765,129,307275558,9780000000000.0,Lauren Weisberger,2003.0,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,3.7,665930,679845,8024,24231,58323,192366,226675,178250,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
86,86,4272,88,5,6442769,1691,438,action,3364505,178,014241493X,9780000000000.0,John Green,2008.0,Paper Towns,Paper Towns,en-US,3.88,461311,655271,42717,14105,47183,154479,223895,215609,https://images.gr-assets.com/books/1349013610m/6442769.jpg
97,97,14598,99,5,11857408,26138,284,romance,16813814,147,1612130585,9780000000000.0,E.L. James,2011.0,Fifty Shades Darker,"Fifty Shades Darker (Fifty Shades, #2)",eng,3.87,552059,623340,28052,37245,58935,114203,150906,262051,https://images.gr-assets.com/books/1358266080m/11857408.jpg
110,110,8434,112,4,15507958,26138,609,romance,17763198,168,670026603,9780000000000.0,Jojo Moyes,2012.0,Me Before You,"Me Before You (Me Before You, #1)",eng,4.27,587647,741133,71412,10346,21880,91517,249474,367916,https://images.gr-assets.com/books/1357108762m/15507958.jpg
114,114,86,116,3,24583,1691,1039,action,41326609,2448,143039563,9780000000000.0,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,eng,3.89,555359,594226,7165,12130,34349,143659,217896,186192,https://images.gr-assets.com/books/1404811979m/24583.jpg
118,118,195,120,2,452306,26138,682,romance,1058370,93,385729332,9780000000000.0,Ann Brashares,2001.0,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,3.75,525706,536604,6477,14996,42396,152024,177404,149784,https://images.gr-assets.com/books/1461611233m/452306.jpg
128,128,18,130,5,2165,1691,374,action,69741,666,684830493,9780000000000.0,Ernest Hemingway,1952.0,The Old Man and the Sea,The Old Man and the Sea,eng,3.73,520630,574328,16716,28645,52583,136217,186747,170136,https://images.gr-assets.com/books/1329189714m/2165.jpg
145,145,950,147,3,1217100,26138,467,romance,2588213,150,1595141715,9780000000000.0,Jay Asher,2007.0,Thirteen Reasons Why,Thirteen Reasons Why,eng,4.02,463783,571281,43467,15246,35668,105414,179197,235756,https://images.gr-assets.com/books/1333822506m/1217100.jpg
147,147,7333,149,5,4374400,26138,2829,romance,4422413,130,525421033,9780000000000.0,Gayle Forman,2009.0,If I Stay,"If I Stay (If I Stay, #1)",en-US,3.96,503527,567087,34959,12666,34896,122977,190793,205755,https://images.gr-assets.com/books/1347462970m/4374400.jpg
150,150,504,152,4,5526,26138,2802,romance,3222389,111,446528056,9780000000000.0,Nicholas Sparks,2006.0,Dear John,Dear John,en-US,4.01,441062,454781,10626,9683,25220,94711,145202,179965,https://images.gr-assets.com/books/1397749854m/5526.jpg
154,154,364,156,4,42156,26138,1431,romance,1789440,65,031232118X,9780000000000.0,Emily Giffin,2004.0,Something Borrowed,"Something Borrowed (Darcy & Rachel, #1)",eng,3.83,403601,435189,11567,16019,29297,104322,148507,137044,https://images.gr-assets.com/books/1305063535m/42156.jpg
162,162,4432,164,5,15745753,26138,5064,romance,17225055,103,1250012570,9780000000000.0,Rainbow Rowell,2013.0,Eleanor & Park,Eleanor & Park,eng,4.11,514312,579753,53005,12904,26371,94470,196224,249784,https://images.gr-assets.com/books/1341952742m/15745753.jpg
164,164,9491,166,3,7735333,26138,2823,romance,9631645,84,525423648,9780000000000.0,Ally Condie,2010.0,Matched,"Matched (Matched, #1)",eng,3.68,511815,530680,30226,24343,53804,138030,165412,149091,https://images.gr-assets.com/books/1367706191m/7735333.jpg
167,167,7288,169,4,6400090,26138,2496,romance,6588800,95,446547565,9780000000000.0,Nicholas Sparks,2008.0,The Last Song,The Last Song,en-GB,4.14,424637,438429,11051,7253,17803,77712,140241,195420,https://images.gr-assets.com/books/1286549186m/6400090.jpg
169,169,9,171,4,6969,26138,3047,romance,3360164,1710,141439580,9780000000000.0,"Jane Austen, Fiona Stafford",1815.0,Emma,Emma,eng,3.99,459826,497949,11724,11386,25777,102144,178238,180404,https://images.gr-assets.com/books/1373627931m/6969.jpg
170,170,34,172,4,15823480,26138,1197,romance,2507928,1492,345803922,9780000000000.0,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0,Анна Каренина,Anna Karenina,eng,4.02,297472,472796,18064,11738,26945,88365,158179,187569,https://images.gr-assets.com/books/1352422904m/15823480.jpg
192,192,8,194,4,153747,1691,624,action,2409320,1823,142437247,9780000000000.0,"Herman Melville, Andrew Delbanco, Tom Quirk",1851.0,"Moby Dick; or, The Whale","Moby-Dick or, The Whale",eng,3.46,358050,397963,11223,35983,52601,103625,102432,103322,https://images.gr-assets.com/books/1327940656m/153747.jpg
201,201,14461,203,5,11505797,26138,3618,romance,16441531,85,,,Jamie McGuire,2011.0,Beautiful Disaster,"Beautiful Disaster (Beautiful, #1)",eng,4.15,418309,442696,25298,17185,23298,61993,115123,225097,https://images.gr-assets.com/books/1358259032m/11505797.jpg
204,204,13884,206,5,10507293,26138,4161,romance,15413183,93,62059939,9780000000000.0,Kiera Cass,2012.0,The Selection,"The Selection (The Selection, #1)",en-US,4.15,505340,539091,35681,13841,25349,83692,158716,257493,https://images.gr-assets.com/books/1322103400m/10507293.jpg
216,216,15270,218,5,13572249,26138,3490,romance,18973111,96,425263908,9780000000000.0,Sylvia Day,2012.0,Bared to You,"Bared to You (Crossfire, #1)",eng,4.19,222678,386136,16748,9867,18983,55554,104657,197075,https://images.gr-assets.com/books/1477803272m/13572249.jpg
