,author_name,book_average_rating,book_id,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
0,Douglas Adams,4.22,162,The Hitchhiker's Guide to the Galaxy,Science Fiction,Fiction,1187415,24633,193,October 12th 1979,9073
1,Michael Crichton,4,1195,Jurassic Park,Science Fiction,Fiction,717329,10047,480,November 7th 1990,2728
2,Isaac Asimov,4.15,3745,Foundation,Science Fiction,Fiction,348254,7681,244,1951,8691
3,Isaac Asimov,3.91,3417,Robot 1,Science Fiction Fantasy,Romance,22,4,167,April 5th 2012,3391
4,Clive Cussler,3.77,54745,The Mediterranean Caper,Adventure,Fiction,16822,589,384,Jan-73,1430
5,Clive Cussler,3.86,15065,The SEA HUNTERS,Adventure,Historical,7090,1692,327,2015,633
6,J.R.R. Tolkien,4.26,58189,The Hobbit,Fantasy,Classics,2471588,42006,366,September 21st 1937,28145
7,J.K. Rowling,4.48,86393,Harry Potter and the Order of the Phoenix,Fantasy,Young Adult,2087093,34321,870,June 21st 2003,1412
8,Dan Brown,3.88,89903,Angels & Demons,Fiction,Mystery,2334743,26835,736,May-00,3071
9,Alice Sebold,3.79,408,The Lovely Bones,Fiction,Mystery,1807318,38491,328,July 3rd 2002,8263
