,author_name,book_average_rating,book_id,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
0,Douglas Adams,4.22,162,The Hitchhiker's Guide to the Galaxy,Science Fiction,Fiction,1187415,24633,193,October 12th 1979,9073
1,Orson Scott Card,4.3,3946,Ender's Game,Science Fiction,Fiction,984497,40614,324,1985,4891
2,Michael Crichton,4.0,1195,Jurassic Park,Science Fiction,Fiction,717329,10047,480,November 7th 1990,2728
3,Isaac Asimov,4.15,3745,Foundation,Science Fiction,Fiction,348254,7681,244,1951,8691
4,Agatha Christie,4.25,2573,And Then There Were None,Mystery,Classics,603042,23607,264,November 6th 1939,4050
5,Janet Evanovich,4.03,669,One for the Money,Mystery,Fiction,442767,13808,320,August 26th 1994,10769
6,James Patterson,4.1,677,Along Came a Spider,Mystery,Fiction,357060,4294,449,February 1st 1993,339
7,Lisa Harris,4.25,203986,Trouble in Paradise (Temptation),Suspense,Christian Fiction,1110,174,305,December 30th 2014,3653
8,Robert J. Groden,4.32,67453,High Treason,Suspense,Christian Fiction,343,79,416,2018,5560
9,Margaret Peterson Haddix,4.28,60029,Among the Impostors,Suspense,Romance,177,76,354,2012,803
